condition,group,repeat,run_id,source_file,api_error,raw_text_nonempty,parse_success,parse_status,schema_valid,schema_completeness,evidence_coverage,unsupported_claim_rate,used_evidence_id_count,invalid_evidence_id_count,used_risk_item_id_count,invalid_risk_item_id_count,required_risk_count,covered_required_risk_count,missing_required_risk_count,risk_recall,numerical_conflict_count,numerical_conflict_rate,recommendation_consistency,feasible_recommendation,verifier_pass
Knee - walking,ec_llm,1,0faf17e4-7278-435c-969f-5ccf221d7777,P01_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ec_llm,2,15c0fb2f-7be5-4b76-a1f0-1116f3c44224,P01_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ec_llm,3,baacad81-0590-435b-877f-aeddc2655b5c,P01_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ec_llm,4,5f620a3c-b32e-4118-aeb3-e97af90117cf,P01_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ec_llm,5,75bb2cf5-369d-41dd-b72a-d6046a95418e,P01_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ordinary_llm,1,d9c679a9-374d-41a0-85bb-4a4d9a117abf,P01_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,15,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ordinary_llm,2,e9c74415-2103-40d9-aa69-eff97d489d17,P01_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,8,0,2,0,2,2,0,1.0,1,0.25,1.0,1.0,0.0
Knee - walking,ordinary_llm,3,2cd995c7-0030-4f93-998a-57f2c6f4658b,P01_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,8,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ordinary_llm,4,e5c0b52c-edfc-406e-925c-b9c0cf2d7f2e,P01_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,11,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking,ordinary_llm,5,167d709b-76d5-44da-9135-d9a811565468,P01_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,14,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and running,ec_llm,1,404a4791-04ba-4d93-bc5d-ccb60cb690b6,P02_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and running,ec_llm,2,46b431a0-7b94-4531-ab67-d72ab256780b,P02_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and running,ec_llm,3,4c656b09-cb07-41db-898c-ee551850305c,P02_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,1,0.25,1.0,1.0,0.0
Knee - walking and running,ec_llm,4,15ff0d41-9075-4df6-a33c-d87b1a46e61e,P02_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,5,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and running,ec_llm,5,09b56e91-c69f-48e1-ba14-02c275b8d0b2,P02_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,5,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and running,ordinary_llm,1,1f23de73-af84-49e2-a607-77ee6ceae4dd,P02_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,13,0,2,0,2,2,0,1.0,1,0.3333333333333333,1.0,1.0,0.0
Knee - walking and running,ordinary_llm,2,152e9d03-c89f-4939-96c6-b77c19cac7a9,P02_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,1,0.3333333333333333,1.0,1.0,0.0
Knee - walking and running,ordinary_llm,3,ca487c5a-c047-4693-982f-8fb410551ea3,P02_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,13,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
Knee - walking and running,ordinary_llm,4,cf7e46ec-159b-42bd-b065-21b44038a5a6,P02_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,9,0,2,0,2,2,0,1.0,3,0.375,1.0,1.0,0.0
Knee - walking and running,ordinary_llm,5,e8f86012-2672-4e9a-9cb7-07e210a81f3b,P02_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Knee - walking, running, and drop landing",ec_llm,1,454b9337-0f11-43c2-b637-1a2a8879b6da,P03_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,6,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Knee - walking, running, and drop landing",ec_llm,2,290bff8a-f7c6-4f8d-82b6-fbfee979fb44,P03_gpt-5.6-luna_ec_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,1,0.3333333333333333,1.0,1.0,0.0
"Knee - walking, running, and drop landing",ec_llm,3,d2980fd2-236f-44b7-b71e-da87519a2136,P03_gpt-5.6-luna_ec_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,1,0.3333333333333333,1.0,1.0,0.0
"Knee - walking, running, and drop landing",ec_llm,4,e3fe8f87-1c3e-4d11-9cc5-fc3168eddfbe,P03_gpt-5.6-luna_ec_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Knee - walking, running, and drop landing",ec_llm,5,784ed355-ee50-4947-a5c2-a6737a8b6c70,P03_gpt-5.6-luna_ec_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,7,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Knee - walking, running, and drop landing",ordinary_llm,1,de385f0c-453a-47e4-aebc-c96f6acd5795,P03_gpt-5.6-luna_ordinary_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,2,0.5,1.0,1.0,0.0
"Knee - walking, running, and drop landing",ordinary_llm,2,d323ce0e-53d7-4daf-a98c-69132acea79d,P03_gpt-5.6-luna_ordinary_llm_-_02.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,1,0.25,1.0,1.0,0.0
"Knee - walking, running, and drop landing",ordinary_llm,3,eb8bea36-0eb9-4a70-b20a-799c3538bb81,P03_gpt-5.6-luna_ordinary_llm_-_03.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,2,0.5,1.0,1.0,0.0
"Knee - walking, running, and drop landing",ordinary_llm,4,e2342c6a-92a7-4d25-a028-2bcd2fa610a1,P03_gpt-5.6-luna_ordinary_llm_-_04.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,0,0.0,1.0,1.0,1.0
"Knee - walking, running, and drop landing",ordinary_llm,5,16e10c7d-2774-43b1-8d13-732c1c4a1275,P03_gpt-5.6-luna_ordinary_llm_-_05.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,10,0,2,0,2,2,0,1.0,2,0.5,1.0,1.0,0.0
Knee - walking and drop landing,ec_llm,1,4bb0ca66-4758-4709-98fe-d8701ef9e05f,P04_gpt-5.6-luna_ec_llm_-_01.json,0.0,1.0,1.0,parsed,1.0,1.0,1.0,0.0,4,0,1,0,1,1,0,1.0,0,0.0,1.0,1.0,1.0
