condition,scenario,run,demand_multiplier,safety_multiplier,feasible_count,baseline_id,selected_id,selected_drive_type,baseline_rank,w_safety_margin,w_mass,w_volume,w_efficiency,retained
Knee - walking,balanced,3,1.1713318080696369,0.9796792491807692,129,QDD-10-XMD031-63W,QDD-11-XMD031-105W,QDD,11.0,0.32579286463975754,0.40348694223460596,0.1978765562753898,0.07284363685024672,False
Knee - walking,efficiency_priority,17,1.0801740677825764,1.0589446832104907,129,QDD-10-XMD031-63W,QDD-11-XMD031-105W,QDD,11.0,0.1905014729449582,0.31427278848987944,0.14050919337976236,0.35471654518539986,False
Knee - walking,lightweight_priority,5,1.1068856620296494,1.0655926867137682,127,QDD-10-XMD031-63W,QDD-11-XMD031-105W,QDD,10.0,0.14554202779622302,0.4139110311578353,0.37718004608452527,0.06336689496141651,False
Knee - walking,safety_redundancy_priority,5,1.082624299203345,1.0615667273492182,129,QDD-10-XMD031-63W,QDD-11-XMD031-105W,QDD,28.0,0.5278082260274645,0.3073812641158094,0.059596677736016505,0.10521383212070967,False
Knee - walking and running,balanced,9,0.8354995187580929,0.8475311515127527,125,QDD-12-XMD031-125W,QDD-11-XMD031-105W,QDD,2.0,0.2845483621473674,0.32919733645135546,0.27181696964728075,0.11443733175399642,False
Knee - walking and running,efficiency_priority,0,0.8939509465399275,0.9639147828100281,119,QDD-12-XMD031-125W,QDD-11-XMD031-105W,QDD,2.0,0.2794105208779588,0.21137290899397898,0.18476618502027742,0.3244503851077847,False
Knee - walking and running,lightweight_priority,0,1.02129318394475,1.1180388200958133,45,QDD-12-XMD031-125W,QDD-18-TBM2G-060-S,QDD,4.0,0.23921302040297399,0.6063696990895827,0.10496489166650264,0.049452388840940636,False
Knee - walking and running,safety_redundancy_priority,3,1.1762879345431188,1.0466640019889168,45,QDD-12-XMD031-125W,QDD-18-TBM2G-060-S,QDD,29.0,0.5338817926166082,0.17899464335422108,0.10902464216000349,0.17809892186916734,False
Knee - walking, running, and drop landing,balanced,6,1.053975730191012,1.054027705730085,7,EMR-61-Ex-G8522-B25-db,"HRA-17-Single-vane_hydraulic_rotary_actuator,_21MPa",HRA,2.0,0.3024431291411353,0.3245261849931039,0.2416530856138593,0.13137760025190143,False
Knee - walking, running, and drop landing,efficiency_priority,0,1.0918685995163186,1.093104332742624,7,EMR-61-Ex-G8522-B25-db,"HRA-17-Single-vane_hydraulic_rotary_actuator,_21MPa",HRA,2.0,0.28214933946394005,0.28152933794712814,0.13338442068242878,0.3029369019065029,False
