condition,scenario,top1_retention,rank_flip_probability,average_baseline_rank,feasible_count
Knee - walking,balanced,0.8867,0.11329999999999996,3.0138,133.7042
Knee - walking,efficiency_priority,0.8998,0.10019999999999996,2.7189,133.8466
Knee - walking,lightweight_priority,0.9126,0.08740000000000003,1.888,133.7299
Knee - walking,safety_redundancy_priority,0.8834,0.11660000000000004,4.0033,133.7372
Knee - walking and running,balanced,0.6687,0.33130000000000004,1.8922,88.3435
Knee - walking and running,efficiency_priority,0.6622,0.3378,1.9074,88.8275
Knee - walking and running,lightweight_priority,0.6784,0.3216,1.5102,88.5485
Knee - walking and running,safety_redundancy_priority,0.6639,0.33609999999999995,2.6736,88.0957
"Knee - walking, running, and drop landing",balanced,0.9142,0.08579999999999999,1.0968,28.8555
"Knee - walking, running, and drop landing",efficiency_priority,0.7448,0.2552,1.2977,28.4572
"Knee - walking, running, and drop landing",lightweight_priority,0.4642,0.5358,2.0797,28.6533
"Knee - walking, running, and drop landing",safety_redundancy_priority,0.9991,0.0009000000000000119,1.0009,28.8187
Knee - walking and drop landing,balanced,0.7839,0.21609999999999996,1.2175,50.498
Knee - walking and drop landing,efficiency_priority,0.7041,0.29590000000000005,1.7669,50.7952
Knee - walking and drop landing,lightweight_priority,0.5587,0.4413,2.0901,50.5995
Knee - walking and drop landing,safety_redundancy_priority,0.4575,0.5425,2.6967,50.5899
Hip - walking,balanced,0.6379,0.3621,1.4822,156.6398
Hip - walking,efficiency_priority,0.6417,0.35829999999999995,1.4786,156.6406
Hip - walking,lightweight_priority,0.5931,0.40690000000000004,1.5398,156.5735
Hip - walking,safety_redundancy_priority,0.6603,0.3397,1.447,156.5673
Hip - walking and running,balanced,0.4981,0.5019,1.7695,128.4026
Hip - walking and running,efficiency_priority,0.4948,0.5052,1.7629,128.3809
Hip - walking and running,lightweight_priority,0.4837,0.5163,1.6286,128.472
Hip - walking and running,safety_redundancy_priority,0.4959,0.5041,1.9707,128.4206
"Hip - walking, running, and drop landing",balanced,0.9839,0.016100000000000003,1.0161,24.7745
"Hip - walking, running, and drop landing",efficiency_priority,0.3895,0.6105,1.6957698476343224,24.8219
"Hip - walking, running, and drop landing",lightweight_priority,0.3773,0.6227,1.3089845224613061,24.7199
"Hip - walking, running, and drop landing",safety_redundancy_priority,0.9876,0.012399999999999967,1.0124,24.8305
Hip - walking and drop landing,balanced,0.9784,0.021599999999999953,1.0218,45.0785
Hip - walking and drop landing,efficiency_priority,0.8859,0.11409999999999998,1.1523,45.018
Hip - walking and drop landing,lightweight_priority,0.7557,0.24429999999999996,1.1260601835715116,45.0233
Hip - walking and drop landing,safety_redundancy_priority,0.5614,0.4386,1.5538,44.9695
